bush, 1990, bush, 1991, shrub; hedge; plant; flora; scrub; vegetation; undergrowth; woodland; sapling; thicket
bush, 1990, clinton, 1992, Bush; president; leader; commander; chief; politician; executive; director; manager; guide; authority
bush, 1990, clinton, 1993, Clinton; Gore; Quayle; Dukakis; Reagan; presidency; administration; politician; White House; president
bush, 1990, clinton, 1994, Clinton; Gore; Dole; Quayle; Bush; Reagan; Thatcher; Major; Cheney; Rabin
bush, 1990, clinton, 1995, Clinton; Gore; Dole; Gingrich; Quayle; Kerry; Biden; McCain; Lugar; Bradley
bush, 1990, clinton, 1996, Clinton; Dole; Gore; Quayle; GHW Bush; Perot; Gingrich; Reagan; Ford; Carter
bush, 1990, clinton, 1997, Bush; Clinton; Gore; Reagan; Dukakis; Quayle; Cheney; Powell; Rumsfeld; Kiss
bush, 1990, clinton, 1998, Clinton; Gore; Dole; Quayle; Reagan; Gingrich; Kemp; Ford; Mondale; Carter
bush, 1990, clinton, 1999, Clinton; Gore; Quayle; Dukakis; Reagan; Thatcher; Gorbachev; Major; Yelts
bush, 1990, bush, 2000, Clinton; Gore; Reagan; Dole; Cheney; Quayle; Nixon; Carter; Ford; Mondale
bush, 1990, bush, 2001, Bush; George H.W. Bush; President Bush; elder Bush; Bush Sr.; President; politics; White House; American
bush, 1990, bush, 2002, Bush; George Bush; President Bush; H.W. Bush; George H.W. Bush; President George Bush; Bush Sr
bush, 1990, bush, 2003, shrub; hedge; plant; flora; undergrowth; greenery; foliage; brushwood; thicket; vegetation
bush, 1990, bush, 2004, Bush; George H. W. Bush; President Bush; president; leader; politician; statesman; commander; authority;
bush, 1990, bush, 2005, Bush; George H. W. Bush; President Bush; Gulf War; politics; Republican; White House; leader; U
bush, 1990, bush, 2006, Bush; George H. W. Bush; President Bush; President; White House; Commander in Chief; Oval Office; chief
bush, 1990, bush, 2007, George H. W. Bush; president; politician; leader; commander-in-chief; head of state; statesman; American
bush, 1990, obama, 2008, Bush; George Bush; President Bush; H.W. Bush; George H.W. Bush; President George Bush; President H
bush, 1990, obama, 2009, Obama; Clinton; Reagan; Nixon; Kennedy; Carter; Ford; politician; president; executive
bush, 1990, obama, 2010, Clinton; Reagan; Nixon; Carter; Kennedy; Ford; Bush; Johnson; Eisenhower; Truman
bush, 1990, obama, 2011, Clinton; Reagan; Carter; Nixon; Ford; Kennedy; Eisenhower; Johnson; Truman; Lincoln
bush, 1990, obama, 2012, Clinton; Gore; Reagan; Thatcher; Nixon; Carter; Ford; Kennedy; Bush; Blair
bush, 1990, obama, 2013, Clinton; Reagan; Nixon; Carter; Ford; presidency; president; White House; George; administration
bush, 1990, obama, 2014, Clinton; Reagan; Thatcher; Gorbachev; Nixon; Carter; Blair; Bush; Obama; Kennedy
bush, 1990, obama, 2015, shrub; hedge; plant; bushel; flowering bush; bushy; underbrush; thicket; scrub; foliage
bush, 1990, obama, 2016, shrub; hedge; plant; scrub; thicket; bushland; vegetation; underbrush; greenery; foliage
bush, 1991, bush, 1990, Gorbachev; Thatcher; Reagan; Yeltsin; Hussein; Clinton; Kohl; Major; Mubarak
bush, 1991, clinton, 1992, George H.W. Bush; president; White House; politician; leader; statesman; executive; Commander-in-Chief;
bush, 1991, clinton, 1993, Clinton; president; White House; executive; leader; administration; political; government; President Bush; leadership
bush, 1991, clinton, 1994, Clinton; Gore; president; executive; White House; administration; politics; leadership; government; chief
bush, 1991, clinton, 1995, Clinton; presidency; White House; executive; president; government; administration; leadership; Oval Office; commander-in-chief
bush, 1991, clinton, 1996, Clinton; Gore; president; White House; administration; presidency; politician; executive; Reagan; leader
bush, 1991, clinton, 1997, Clinton; Gore; Quayle; Dukakis; Reagan; Carter; Ford; Nixon; Kennedy; Johnson
bush, 1991, clinton, 1998, Clinton; Gore; Quayle; Dukakis; Reagan; Carter; Ford; Nixon; Cheney; Rumsfeld
bush, 1991, clinton, 1999, Clinton; Gore; Dole; Quayle; Reagan; Cheney; Powell; Gingrich; McCain; Thurmond
bush, 1991, bush, 2000, Clinton; Gore; Dole; Quayle; Reagan; Cheney; Lugar; Bush; Gingrich; Kemp
bush, 1991, bush, 2001, George W. Bush; President; White House; Clinton; Reagan; politics; American; leadership; executive; Washington
bush, 1991, bush, 2002, Bush; President; White House; Clinton; Reagan; executive; administration; leader; politics; government
bush, 1991, bush, 2003, Bush; George H.W. Bush; President Bush; Gulf War; Reagan; Clinton; George Bush; presidency; Saddam Hussein
bush, 1991, bush, 2004, Bush; George W. Bush; president; Clinton; White House; Reagan; administration; politics; government; campaign
bush, 1991, bush, 2005, Bush; Clinton; Reagan; Cheney; Gore; Nixon; Carter; Obama; Kennedy; Ford
bush, 1991, bush, 2006, George H. W. Bush; president; White House; Reagan; Clinton; politics; republican; government; leadership; USA
bush, 1991, bush, 2007, Clinton; Reagan; Carter; Nixon; Kennedy; Ford; Eisenhower; Johnson; Truman; Roosevelt
bush, 1991, obama, 2008, Bush; George H.W. Bush; President Bush; President; American President; Gulf War; U.S. President; White
bush, 1991, obama, 2009, Obama; Clinton; Reagan; Bush; president; White House; administration; government; political; leader
